# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
94-26-8	butylparaben	C038091	94-26-8	ERBB3A	386635	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ERBB4	2066	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	ERCC2	2068	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	ERLIN2	11160	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ERN1	2081	Homo sapiens	9606	29319206
94-26-8	butylparaben	C038091	94-26-8	ESR1	2099	Homo sapiens	9606	11193391|19063592|20074635|20362049|20435135|22562034|23524099|23567241|25012808|25128701|26502914|29945225
94-26-8	butylparaben	C038091	94-26-8	ESR1	2099	Rattus norvegicus	10116	15204698|19654335|20132880|26888303|27444704
94-26-8	butylparaben	C038091	94-26-8	ESR1	2099			23314706
94-26-8	butylparaben	C038091	94-26-8	ESR2	2100	Homo sapiens	9606	11193391|23567241|25128701
94-26-8	butylparaben	C038091	94-26-8	ESR2	2100	Rattus norvegicus	10116	18648085|20132880|26888303
94-26-8	butylparaben	C038091	94-26-8	ESRRA	2101	Danio rerio	7955	29458080
